symmetric,input_dim,latent_dim,target_ratio,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,512,256,2,2.0,2,7,32.390575,39.41954,98.43975067138672,4.2902884,2.5129735
False,512,256,2,2.0,2,7,55.113693,116.971886,110.15201187133789,5.3194833,3.916745
True,512,256,2,2.0,2,8,29.879555,30.632795,85.32938766479492,4.1966767,2.156096
False,512,256,2,2.0,2,8,31.078867,40.268417,118.19411849975586,4.0502667,2.627885
True,512,256,2,2.0,2,9,33.294697,40.886826,116.39596939086914,4.2084103,2.456851
False,512,256,2,2.0,2,9,43.38061,44.39255,106.68611907958984,5.124516,2.674944
True,512,128,4,4.0,2,0,36.59374,62.96592,167.09456634521484,4.2188845,2.9929786
False,512,128,4,4.0,2,0,29.624502,30.13251,78.48873519897461,4.241736,2.1528716
True,512,128,4,4.0,2,1,43.42248,46.912262,135.57626724243164,4.929669,2.8465319
False,512,128,4,4.0,2,1,27.356499,29.488356,87.00491714477539,4.0076523,2.1912003
True,512,128,4,4.0,2,2,45.911842,69.02405,108.21611404418945,4.9463234,3.2935302
False,512,128,4,4.0,2,2,17.433878,18.53652,61.24221420288086,3.1966996,1.6895753
True,512,128,4,4.0,2,3,20.095434,17.439247,55.794395446777344,3.4818587,1.5646216
False,512,128,4,4.0,2,3,29.545326,53.746197,125.2467041015625,3.7425408,2.8928618
True,512,128,4,4.0,2,4,66.62384,114.69942,148.6389617919922,6.0258927,3.9778817
False,512,128,4,4.0,2,4,52.27337,197.49602,82.21046447753906,4.3646173,4.6109734
True,512,128,4,4.0,2,5,233.61389,636.5771,650.9494934082031,10.015838,8.792215
False,512,128,4,4.0,2,5,42.754116,51.50914,139.4815444946289,4.839786,2.970255
True,512,128,4,4.0,2,6,43.86216,133.80382,82.2197036743164,4.331366,3.6089158
False,512,128,4,4.0,2,6,34.364864,47.83744,99.94655227661133,4.3478,2.7303207
True,512,128,4,4.0,2,7,20.1037,21.907885,51.2463264465332,3.3864017,1.7006783
False,512,128,4,4.0,2,7,23.672724,32.574467,94.7170639038086,3.4951756,2.2134404
True,512,128,4,4.0,2,8,79.22175,180.93652,146.36371612548828,6.335318,4.6623907
False,512,128,4,4.0,2,8,20.994513,26.502901,47.19322395324707,3.4920936,1.9704633
True,512,128,4,4.0,2,9,69.0417,285.8099,79.45809173583984,4.6384654,5.6035924
False,512,128,4,4.0,2,9,20.361979,19.976229,65.78221893310547,3.4492257,1.8325082
True,512,64,8,8.0,2,0,24.496122,34.673027,56.81484031677246,3.6728468,2.0464938
False,512,64,8,8.0,2,0,25.15576,40.347683,78.30629348754883,3.6303942,2.4196265
True,512,64,8,8.0,2,1,34.22066,85.878456,93.77330780029297,3.916953,3.2937176
False,512,64,8,8.0,2,1,47.431786,74.12124,144.8816146850586,4.9613533,3.383167
True,512,64,8,8.0,2,2,23.887388,31.095669,45.428932189941406,3.6743622,2.1080384
