symmetric,input_dim,latent_dim,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,512,16,26.94736842105263,2,9,30.911642,45.727257,63.475053787231445,4.254342,2.2791831
False,512,16,26.94736842105263,2,9,48.25271,99.81506,133.95138549804688,4.817915,3.7492487
True,512,32,14.628571428571428,2,0,83.76442,96.439896,200.4668426513672,7.054214,3.5355132
False,512,32,14.628571428571428,2,0,37.821815,130.29985,63.12577819824219,3.7875347,3.863051
True,512,32,14.628571428571428,2,1,35.286068,42.982998,115.82518768310547,4.3977785,2.5610561
False,512,32,14.628571428571428,2,1,39.55215,149.95012,54.04585838317871,3.8649619,3.9778073
True,512,32,14.628571428571428,2,2,46.667007,47.292805,120.42000198364258,5.1825533,2.8101382
False,512,32,14.628571428571428,2,2,94.723495,438.04733,89.40867614746094,5.4243336,6.651201
True,512,32,14.628571428571428,2,3,36.434875,90.838844,113.568115234375,3.9711113,3.4831645
False,512,32,14.628571428571428,2,3,40.85704,121.50142,76.94636535644531,4.2009964,3.6826873
True,512,32,14.628571428571428,2,4,43.877556,151.9178,77.35868835449219,4.132071,4.1547527
False,512,32,14.628571428571428,2,4,51.567024,207.83412,57.57528877258301,4.3113575,4.621985
True,512,32,14.628571428571428,2,5,26.32363,25.10052,72.36255264282227,3.90178,1.8731353
False,512,32,14.628571428571428,2,5,38.278183,146.93002,57.03359031677246,3.7135353,3.9958103
True,512,32,14.628571428571428,2,6,35.472343,40.551716,137.36329650878906,4.446077,2.592039
False,512,32,14.628571428571428,2,6,48.85948,137.1209,171.95552825927734,4.4743648,4.196632
True,512,32,14.628571428571428,2,7,27.821384,31.178476,65.17778587341309,4.084422,2.0412555
False,512,32,14.628571428571428,2,7,52.00257,168.03654,77.30257797241211,4.688598,4.330247
True,512,32,14.628571428571428,2,8,37.210876,55.944126,137.50286865234375,4.427738,2.994696
False,512,32,14.628571428571428,2,8,96.47385,480.78745,128.68510055541992,4.9264245,6.9967513
True,512,32,14.628571428571428,2,9,45.229828,157.22939,54.3222770690918,4.273257,4.069009
False,512,32,14.628571428571428,2,9,34.20271,108.741066,59.76830863952637,3.7300887,3.5391514
True,512,64,7.641791044776119,2,0,30.081871,50.84545,74.96025085449219,3.9484625,2.7462258
False,512,64,7.641791044776119,2,0,31.48016,72.80824,105.53363037109375,3.6593077,3.2424657
True,512,64,7.641791044776119,2,1,30.506132,38.504707,117.81378173828125,4.1377735,2.4569137
False,512,64,7.641791044776119,2,1,29.278574,67.65946,91.96096420288086,3.6672308,3.0255597
True,512,64,7.641791044776119,2,2,25.180626,29.44256,70.42140197753906,3.845811,2.1826618
False,512,64,7.641791044776119,2,2,58.20282,223.89699,71.82587432861328,4.597091,4.9194117
